Unnamed: 0,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales +,467,566,540,645,772,834,1047,1059,1037,1029,951,1005,1053
Expenses +,426,526,503,614,737,785,975,969,935,904,816,847,880
Operating Profit,41,40,37,31,36,48,71,90,102,125,135,157,172
OPM %,9%,7%,7%,5%,5%,6%,7%,8%,10%,12%,14%,16%,16%
Other Income +,4,3,1,3,4,2,2,-22,8,11,10,10,10
Interest,7,7,8,7,9,11,13,20,20,13,13,16,21
Depreciation,11,11,11,11,11,13,12,13,12,12,12,12,12
Profit before tax,27,24,19,15,19,27,48,36,77,111,120,139,149
Tax %,37%,6%,16%,20%,15%,21%,19%,18%,18%,31%,27%,28%,28%
Net Profit +,17,23,16,12,16,21,39,29,63,77,88,101,108
EPS in Rs,0.41,0.54,0.38,0.28,0.39,0.51,0.93,0.69,1.50,1.77,2.00,2.29,2.45
Raw PDF,,,,,,,,,,,,,
