Symbol,Close,Volume,ADR Value,ADR,Mod_ADR,RSI
ACE.NS,1573.85,406844,107.44,8.55,8.55,79.97
AEGISCHEM.NS,433.8,290109,21.21,5.38,5.38,72.63
ALLCARGO.NS,77.6,2746645,3.87,5.52,5.52,64.5
ANGELONE.NS,2977.9,480310,156.31,5.9,5.9,64.44
APARINDS.NS,7346.15,207569,320.68,5.17,5.17,87.02
BLS.NS,352.85,3378633,21.09,6.83,6.83,54.79
BORORENEW.NS,540.05,646277,25.62,5.08,5.08,62.05
CGCL.NS,221.9,661128,15.04,7.11,7.11,56.06
CENTRALBK.NS,65.6,20709251,3.37,5.84,5.84,63.74
CENTURYTEX.NS,1669.8,116761,74.41,5.18,5.18,77.76
CHALET.NS,850.9,241701,44.17,5.68,5.68,76.98
CHENNPETRO.NS,941.4,722155,45.49,5.41,5.41,68.01
COCHINSHIP.NS,1081.2,5566690,54.5,6.42,6.42,85.99
DATAPATTNS.NS,2694.9,148352,144.12,6.07,6.07,69.94
EIHOTEL.NS,479.25,1342297,22.67,5.47,5.47,73.06
ELECON.NS,1005.25,140148,44.3,5.06,5.06,80.91
ENGINERSIN.NS,221.7,4965154,12.21,6.29,6.29,65.68
GODFRYPHLP.NS,3198.45,44740,190.55,6.29,6.29,57.75
GRAPHITE.NS,658.85,1524146,30.52,5.04,5.04,67.59
GAEL.NS,179.45,845842,8.99,5.19,5.19,46.49
GMDCLTD.NS,388.65,1142992,19.77,5.66,5.66,70.91
GPPL.NS,217.8,4241301,12.25,6.39,6.39,69.56
GSFC.NS,241.65,6101189,10.31,5.11,5.11,76.53
HEG.NS,2089.5,709547,101.99,5.66,5.66,70.12
HBLPOWER.NS,490.45,702641,28.36,6.56,6.56,66.3
HFCL.NS,99.05,10546347,5.03,5.63,5.63,67.72
HINDCOPPER.NS,322.4,20958999,15.72,5.92,5.92,75.98
HUDCO.NS,206.4,24370150,11.76,6.62,6.62,72.7
IIFL.NS,401.25,15834428,22.07,6.27,6.27,60.03
IRB.NS,67.2,61806407,3.38,6.03,6.03,75.45
IRCON.NS,235.45,12658210,11.67,5.75,5.75,74.61
ITI.NS,275.65,1192199,15.45,6.22,6.22,49.43
IOB.NS,66.5,20745471,3.41,5.74,5.74,63.26
INOXWIND.NS,529.3,754620,27.23,5.68,5.68,72.02
INTELLECT.NS,1080.05,508321,57.55,5.38,5.38,38.11
JBMA.NS,1772.65,229920,98.53,5.51,5.51,36.71
JMFINANCIL.NS,81.05,7946314,4.5,6.01,6.01,56.25
JAIBALAJI.NS,999.15,109006,57.5,5.97,5.97,37.88
J&KBANK.NS,139.05,2128884,6.42,5.02,5.02,69.94
JINDALSAW.NS,496.9,470623,24.88,5.9,5.9,72.83
JWL.NS,388.6,681504,19.05,5.55,5.55,78.23
KPIL.NS,1157.25,695606,58.2,5.65,5.65,76.96
MMTC.NS,77.35,5272594,4.0,5.9,5.9,66.04
MAHSEAMLES.NS,926.1,47716,45.62,5.4,5.4,55.42
MRPL.NS,238.25,4515447,13.58,6.48,6.48,76.14
MOTILALOFS.NS,1831.9,70566,79.97,5.19,5.19,89.44
NBCC.NS,138.35,37979226,6.21,5.38,5.38,76.33
NCC.NS,272.7,32794515,16.72,7.39,7.39,63.51
NLCINDIA.NS,231.3,4635232,11.76,5.54,5.54,61.92
NSLNISP.NS,61.85,7972157,2.94,5.35,5.35,82.05
NATIONALUM.NS,177.5,26489939,7.73,5.3,5.3,85.52
NETWORK18.NS,90.85,413670,4.48,5.15,5.15,59.09
NAM-INDIA.NS,531.95,995996,24.69,5.38,5.38,71.82
NUVAMA.NS,4959.0,28920,232.74,5.59,5.59,75.96
OLECTRA.NS,1920.8,782045,95.53,5.55,5.55,64.23
PCBL.NS,282.15,1868231,13.02,5.23,5.23,73.87
RITES.NS,700.75,1254350,36.68,5.85,5.85,68.51
RAILTEL.NS,395.55,3970789,23.47,6.72,6.72,81.01
RTNINDIA.NS,76.55,2697623,3.95,5.69,5.69,59.18
SCHNEIDER.NS,787.25,142136,37.39,5.67,5.67,73.55
SOBHA.NS,1555.0,315984,93.21,6.93,6.93,73.73
SPARC.NS,433.65,770561,18.62,5.12,5.12,79.91
SWANENERGY.NS,674.9,3197203,43.22,7.84,7.84,82.91
TV18BRDCST.NS,48.55,2445152,2.55,5.36,5.36,54.6
TVSSCS.NS,175.95,1079978,7.92,5.1,5.1,68.53
TANLA.NS,927.2,475148,43.21,5.18,5.18,60.58
TTML.NS,81.55,3069247,4.29,5.52,5.52,52.28
TITAGARH.NS,957.1,333917,43.38,5.07,5.07,61.51
TRITURBINE.NS,557.2,667055,24.96,5.09,5.09,72.42
UCOBANK.NS,57.05,19797356,2.86,5.58,5.58,62.58
UJJIVANSFB.NS,55.9,32525261,2.46,5.3,5.3,67.52
WELSPUNLIV.NS,155.0,2018907,7.99,5.67,5.67,59.57
