Date,Symbol,Close,Volume,ADR Value,ADR Percentage,Modified ADR,RSI,44 SMA,25 EMA,Buy/Sell (ADR),Buy/Sell (RSI),Bull/Bear (44 SMA),Bull/Bear (25 EMA)
2024-04-26,EMUDHRA.NS,737.9500122070312,400153,47.84643118722098,6.665862001667366,6.446595129128821,60.099649346405,666.6181807084517,713.3230652598327,Buy,Buy,Bullish,Bullish
2024-04-26,INOXWIND.NS,640.5999755859375,2192565,33.717864990234375,6.0613113258037865,5.950357906280946,73.98799413946061,547.7249984741211,561.4688911409212,Buy,Buy,Bullish,Bullish
2024-04-26,JAIBALAJI.NS,1085.699951171875,289290,50.15000261579241,4.975599172166434,5.168467535835355,69.44042635800213,1066.4761310924184,1026.7622455004405,Sell,Buy,Bullish,Bullish
2024-04-26,PRESTIGE.NS,1354.9000244140625,562076,54.07856968470982,4.390345692855702,4.622339013383791,58.23012257967997,1196.6409135298295,1239.715094954211,Sell,Buy,Bullish,Bullish
2024-04-26,TORNTPOWER.NS,1489.800048828125,227797,72.77499825613839,4.98578168574324,5.39103641216852,52.132276547149885,1319.7079495516691,1441.6131545694548,Sell,Buy,Bullish,Bullish
2024-04-26,SANGHVIMOV.NS,1350.0,137995,71.36427525111607,5.583045673853149,5.553062412739658,50.26713474875992,1210.8534074263139,1283.64427280719,Buy,Buy,Bullish,Bullish
2024-04-26,SHILPAMED.NS,544.0499877929688,374684,23.514286586216517,4.626768235281853,4.687366027473541,69.79126401236954,467.495454268022,501.48901836044735,Sell,Buy,Bullish,Bullish
2024-04-26,ACE.NS,1528.0,243090,62.81428745814732,4.336523597407571,4.937317056519153,46.30224369877392,1380.2534013227983,1456.9440296370972,Sell,Sell,Bullish,Bullish
2024-04-26,COCHINSHIP.NS,1352.050048828125,4772122,69.75356619698661,6.262235343336031,6.250847274155321,77.65821373081062,968.4999944513494,1092.0564195456432,Buy,Buy,Bullish,Bullish
2024-04-26,TIMETECHNO.NS,272.6499938964844,975310,12.342851911272321,4.721605619903357,4.833962357267492,52.516281459842205,237.9863631508567,256.1719593847518,Sell,Buy,Bullish,Bullish
2024-04-26,JYOTICNC.NS,807.4000244140625,169399,38.210719517299104,5.097658659767168,5.918494546417611,58.83247034176608,693.1159099232067,744.1221922690376,Buy,Buy,Bullish,Bullish
2024-04-26,NUVAMA.NS,5348.7998046875,28980,195.23214285714286,3.79273710147221,4.7083148761089,64.87122130778323,4591.223871404474,4971.241360969375,Sell,Buy,Bullish,Bullish
2024-04-30,EXIDEIND.NS,472.3999938964844,15661566,26.067858014787948,6.157954502781693,5.752114850534222,74.86295372481644,356.1193154074929,404.75355794581014,Buy,Buy,Bullish,Bullish
2024-04-30,SCHNEIDER.NS,807.4000244140625,150354,39.28928920200893,5.310175293983632,5.267854446363311,47.83461701879091,699.5613611394709,740.2606848324249,Buy,Sell,Bullish,Bullish
