Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
