Company Name,Industry,Symbol,Series,ISIN Code,Original_Industry
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025,Construction Materials
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017,Financial Services
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014,Healthcare
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013,Financial Services
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014,Healthcare
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029,Capital Goods
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046,Capital Goods
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037,Healthcare
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026,Automobile and Auto Components
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014,Financial Services
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028,Consumer Durables
Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,EQ,INE465A01025,Capital Goods
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013,Healthcare
Coforge Ltd.,Information Technology,COFORGE.NS,EQ,INE591G01017,Information Technology
Container Corporation of India Ltd.,Services,CONCOR.NS,EQ,INE111A01025,Services
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020,Capital Goods
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,EQ,INE00R701025,Construction Materials
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,EQ,INE042A01014,Capital Goods
Federal Bank Ltd.,Financial Services,FEDERALBNK.NS,EQ,INE171A01029,Financial Services
Godrej Properties Ltd.,Realty,GODREJPROP.NS,EQ,INE484J01027,Realty
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS,EQ,INE844O01030,Oil Gas & Consumable Fuels
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS,EQ,INE127D01025,Financial Services
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS,EQ,INE094A01015,Oil Gas & Consumable Fuels
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS,EQ,INE092T01019,Financial Services
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS,EQ,INE053A01029,Consumer Services
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS,EQ,INE203G01027,Oil Gas & Consumable Fuels
Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS,EQ,INE121J01017,Telecommunication
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS,EQ,INE797F01020,Consumer Services
L&T Technology Services Ltd.,Information Technology,LTTS.NS,EQ,INE010V01017,Information Technology
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS,EQ,INE115A01026,Financial Services
Lupin Ltd.,Healthcare,LUPIN.NS,EQ,INE326A01037,Healthcare
MRF Ltd.,Automobile and Auto Components,MRF.NS,EQ,INE883A01011,Automobile and Auto Components
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS,EQ,INE774D01024,Financial Services
Max Financial Services Ltd.,Financial Services,MFSL.NS,EQ,INE180A01020,Financial Services
MphasiS Ltd.,Information Technology,MPHASIS.NS,EQ,INE356A01018,Information Technology
NMDC Ltd.,Metals & Mining,NMDC.NS,EQ,INE584A01023,Metals & Mining
Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS,EQ,INE093I01010,Realty
Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS,EQ,INE881D01027,Information Technology
Page Industries Ltd.,Textiles,PAGEIND.NS,EQ,INE761H01022,Textiles
Persistent Systems Ltd.,Information Technology,PERSISTENT.NS,EQ,INE262H01013,Information Technology
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS,EQ,INE347G01014,Oil Gas & Consumable Fuels
Polycab India Ltd.,Capital Goods,POLYCAB.NS,EQ,INE455K01017,Capital Goods
Power Finance Corporation Ltd.,Financial Services,PFC.NS,EQ,INE134E01011,Financial Services
REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018,Financial Services
Steel Authority of India Ltd.,Metals & Mining,SAIL.NS,EQ,INE114A01011,Metals & Mining
Tata Communications Ltd.,Telecommunication,TATACOMM.NS,EQ,INE151A01013,Telecommunication
United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS,EQ,INE686F01025,Fast Moving Consumer Goods
Vodafone Idea Ltd.,Telecommunication,IDEA.NS,EQ,INE669E01016,Telecommunication
Voltas Ltd.,Consumer Durables,VOLTAS.NS,EQ,INE226A01021,Consumer Durables
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS,EQ,INE256A01028,Media Entertainment & Publication
